num,subject,relation,object,subject_url,object_url,obeject_image,from_id,to_id
1,李玥,姐弟,秦俊杰,http://www.ylq.com/neidi/liyue/,http://www.ylq.com/neidi/qinjunjie/,http://img.ylq.com/2016/0527/thumb_200_260_20160527035629375.png,2292,5933
2,胡静,同学,刘烨,http://www.ylq.com/neidi/hujing/,http://www.ylq.com/neidi/liuye/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142224746.jpg,2379,2347
2,胡静,同学,秦海璐,http://www.ylq.com/neidi/hujing/,http://www.ylq.com/neidi/qinhailu/,http://img.ylq.com/2017/0224/thumb_200_260_20170224045034402.png,2379,2390
2,胡静,同学,袁泉,http://www.ylq.com/neidi/hujing/,http://www.ylq.com/neidi/yuanquan/,http://img.ylq.com/2017/0207/thumb_200_260_20170207084254769.png,2379,2519
2,胡静,同学,梅婷,http://www.ylq.com/neidi/hujing/,http://www.ylq.com/neidi/meiting/,http://img.ylq.com/2017/0318/thumb_200_260_20170318103626634.png,2379,2178
2,胡静,同学,秦昊,http://www.ylq.com/neidi/hujing/,http://www.ylq.com/neidi/qinhao/,http://img.ylq.com/2017/0125/thumb_200_260_20170125110305125.png,2379,2566
2,胡静,同学,牛青峰,http://www.ylq.com/neidi/hujing/,http://www.ylq.com/neidi/niuqingfeng/,http://img.ylq.com/2014/1203/thumb_200_260_20141203143732737.jpg,2379,5236
2,胡静,同学,曾黎,http://www.ylq.com/neidi/hujing/,http://www.ylq.com/neidi/cengli/,http://img.ylq.com/2016/0818/thumb_200_260_20160818122906695.png,2379,5305
2,胡静,同学,章子怡,http://www.ylq.com/neidi/hujing/,http://www.ylq.com/neidi/zhangziyi/,http://img.ylq.com/2016/0714/thumb_200_260_20160714085827419.png,2379,2259
3,罗素·克洛,旧爱,梅格·瑞恩,http://www.ylq.com/oumei/RussellCrowe/,http://www.ylq.com/oumei/MegRyan/,http://img.ylq.com/2015/0215/thumb_200_260_20150215102425614.jpg,4927,4493
4,汤姆·克鲁斯,前任夫妻,妮可·基德曼,http://www.ylq.com/oumei/TomCruise/,http://www.ylq.com/oumei/NicoleKidman/,http://img.ylq.com/2014/1203/thumb_200_260_20141203203010183.jpg,4304,4596
4,汤姆·克鲁斯,旧爱,佩内洛普·克鲁兹,http://www.ylq.com/oumei/TomCruise/,http://www.ylq.com/oumei/PenelopeCruz/,http://img.ylq.com/2014/1203/thumb_200_260_20141203203309901.jpg,4304,4850
5,黄鸿升,旧爱,杨丞琳,http://www.ylq.com/gangtai/huanghongsheng/,http://www.ylq.com/gangtai/yangchenglin/,http://img.ylq.com/2014/1203/thumb_200_260_20141203190015192.jpg,8742,8270
6,林鹏,好友,成龙,http://www.ylq.com/neidi/linpeng/,http://www.ylq.com/gangtai/chenglong/,http://img.ylq.com/2014/1203/thumb_200_260_20141203185943168.jpg,2626,6091
7,黄家强,兄弟,黄家驹,http://www.ylq.com/gangtai/huangjiaqiang/,http://www.ylq.com/gangtai/huangjiaju/,http://img.ylq.com/2015/0624/thumb_200_260_20150624102526218.jpg,8637,7477
